"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-09","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694806,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-10","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694817,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-11","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694917,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-12","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",694985,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-13","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695088,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-14","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695236,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-15","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695236,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-16","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695338,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-17","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695343,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-18","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695410,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-19","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695524,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-20","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",695615,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-21","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696087,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-22","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696188,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-23","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696254,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-24","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696257,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-25","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696342,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-26","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696485,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-27","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696603,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-28","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696696,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-29","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696742,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-30","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696757,"Cumulative Count of COVID-19 Deaths"
"country/BRA","BR","Brazil","CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased","2023-01-31","WHO_COVID19","https://data.who.int/dashboards/covid19/data?n=c","","","",696759,"Cumulative Count of COVID-19 Deaths"
