"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-25","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",41626753,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-26","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",42787199,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-27","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",44287510,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-28","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",45379804,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-29","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",46426188,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-04-30","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",47399150,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-01","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",47663526,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-02","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",47755613,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-03","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",48643324,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-04","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",49626137,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-05","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",50576224,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-06","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",51624587,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-07","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",52647815,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-08","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",52972460,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-09","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",53064124,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-10","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",54008862,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-11","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",54912939,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-12","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",55907165,"Total COVID-19 Vaccines Administered"
